#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
################
# MAGIC SYSTEM #
################
#
# Magic potential 
magic_potential_1;Magic Potential;;;;;;;;;;;;;
magic_potential_1_desc;This character can see and manipulate winds of magic and can become sorcerer.\n Current Magic Power: §G[magic_power.GetValue]§! \n;;;;;;;;;;;;;
magic_potential_2;Great Magic Potential;;;;;;;;;;;;;
magic_potential_2_desc;This character has been gifted with great magical potential, possessing an instinctive ability for grasping the Winds of Magic and bending reality to their will.\n Current Magic Power §G: [magic_power.GetValue]§! \n;;;;;;;;;;;;;
#
##################
# BATTLE CASTING #
# ################
GetBattleCastingFinal_success;Battle continues, what will be your next move?;;;;;;;;;;;;x
GetBattleCastingFinal_success_miscast;Suddenly, something distracted you and you lost control over magic winds - you feel someting is about to happen [GetMiscast];;;;;;;;;;;;x
GetBattleCastingFinal_failure_miscast;In critical moment of battle you lost control over winds of magic, channeled energies are free - you feel someting is about to happen [GetMiscast];;;;;;;;;;;;x
GetBattleCastingFinal_failure;The winds of magic do not blow in your favour, you try to concentrate and channel magic energies, yet you fail every time.;;;;;;;;;;;;x
# spell Failure miscats
# Miscast Shock
miscast_wound;Aethyric Shock;;;;;;;;;;;;x
miscast_wound_desc;The aethyric energy cursing through you, burns your body, you are wouned!;;;;;;;;;;;;x
# Miscast mindnub
miscast_mental_block;Mental block;;;;;;;;;;;;x
miscast_mental_block_desc;Magical energies overloaded your mind, your magic power is temporary reduced!;;;;;;;;;;;;x
## Associated modifier
mental_block;Mental block;;;;;;;;;;;;x
mental_block_desc;Magical engergies overloaded your mind your power is temporary reduced.;;;;;;;;;;;;x
# Minor: Unnatural aura
miscast_unnatural_aura;Unnatural aura;;;;;;;;;;;;x
miscast_unnatural_aura_desc;Your spell backfired and created side effect - a strange aura around you. Animals and men seem to react differntly towards you...;;;;;;;;;;;;x
# Major: Heretical vision
miscast_vision;Heretical Vision;;;;;;;;;;;;x
miscast_vision_desc;You get a glipmses of Realm of Chaos - images and unspeakable thoughts are burned into your mind, mysteries of daemons and mortals - the secrets that would drove many insane. Perhaps in time you will forgot what you have seen.;;;;;;;;;;;;x
# Major: Enfeeblement
miscast_health;Enfeeblement;;;;;;;;;;;;x
enfeeblement;Enfeeblement;;;;;;;;;;;;x
enfeeblement;Enfeeblement;;;;;;;;;;;;x
miscast_health_desc;Chaos wracks your body, it seem that for weeks to come you will feel weak.;;;;;;;;;;;;x
# Major: possesion
miscast_possession;Daemonic Possesion;;;;;;;;;;;;x
miscast_possession_desc;Through winds of magic an alien entity invades your mind, your were focusing on spell and were unable to defend yourself. You feel the daemonic presence.;;;;;;;;;;;;x
#
# Major: mutation
miscast_mutation;Mutation;;;;;;;;;;;;x
miscast_mutation_desc;Through reckless usage of dark magic your flesh was twised, you feel how something unnatural is happening to your body;;;;;;;;;;;;x
# Catastrophy: incapable
miscast_incapable;Tzeentch Lash;;;;;;;;;;;;x
miscast_incapable_desc;Raw energies of magic overwhelm you knocking you down...;;;;;;;;;;;;x
# Catastrophy: incapable
miscast_death:Called to Void;;;;;;;;;;;;x
miscast_death_desc;Wild energies from attempted spell break free and form a swirling portal of dark energies that is pulling you inside, the power is overwhelming - you cannot resist, winds of chaos engulf you - this is your end...;;;;;;;;;;;;x
#
# Catastrophy: Aethyric
miscast_maim:Aethyric Assault;;;;;;;;;;;;x
miscast_maim_desc;Winds of magic lash out at you tearing your flesh apart, burning your skin and shattering your bones. Beaten and broken you struggle to raise from the ground.;;;;;;;;;;;;x
# Events for generic spell casting
# 
magic_generic.3_title:Miscast;;;;;;;;;;;;x
magic_generic.2_desc:Your spell attempt failed! You were unable to gather enough magic energy into spell!;;;;;;;;;;;;x
