#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###Categorizeable
RULE_OPTION_ELDER_RACES_ON;Elder Races Allowed;;;;;;;;;x
RULE_OPTION_ELDER_RACES_AI_ON;Elder Races Allowed for AI;;;;;;;;;x
#Insults
INSULT_BRAY;Bray;;;;;;;;;x
INSULT_BRAYHORNLESS;Hornless Bray;;;;;;;;;x
#Tamurkhan Traits
nurgle_maggot_lord;Maggot Lord;;;;;;;;;x
#Tamurkhan Events
maggot_lord_consumes_FROM_tt;Consume [From.GetFullName];;;;;;;;;x
maggot_lord_consumes_ROOT_tt;The Maggot Lord approaches you menancingly...;;;;;;;;;x
EVTOPTTAMUR50020;I Shall Feast on you Today...;;;;;;;;;x
TAMUR6_DESCA;You approach [target_character.GetFullName] with intent to decide consume his body into your being... ;;;;;;;;;x
TAMUR6_OPTA;I shall make your body mine;;;;;;;;;x
TAMUR6_OPTB;I shall Consume you;;;;;;;;;x
TAMUR6_OPTC;I shall Kill you;;;;;;;;;x
TAMUR6_OPTD;You shall be my Prisoner;;;;;;;;;x
TAMUR1_DESC;You wake in the morning in cold sweat looking feeling nauseus. upon closer inspection you notice your body has become an host to swarm of maggots, truly an ominous sight...;;;;;;;;;x
TAMUR1_OPTB;Cut them out! CUT THEM OUT!;;;;;;;;;x
TAMUR2_DESC;The Maggots in your body have started taking toll on your mental fortitude telling you to do things you normally would not do enstranging your family any friends in process...;;;;;;;;;x
TAMUR2_OPTA;Yes yes... my master...;;;;;;;;;x
TAMUR3_DESC;Your mind finally crumbles, and new consience becomes apparent. You have finally achieved the total control of this body it is time to enact your plans...;;;;;;;;;x
TAMUR3_OPTA;I Am Finally Back;;;;;;;;;x
TAMUR4_OPTA;CURSES!;;;;;;;;;x
TAMUR4_DESC;Your Host body has crumbled to unuseable form... it is time to find a new host you must act quickly...;;;;;;;;;x
TAMUR5_DESCA;You start noticing your skin color starting to look pale and your body no longer generates as fast as it used to...;;;;;;;;;x
TAMUR5_DESCB;Your body has started visibly rotting but it still manages to regenate itself through dark magics.;;;;;;;;;x
TAMUR5_DESCC;Your body is at it's breaking point no longer regenerating and small parts of your body are already starting to fall off... you might need to start looking for a new host.;;;;;;;;;x
TAMUR5_DESCD;CURSES! your body no longer is capable of sustaining it self and has finally fully collapsed...;;;;;;;;;x
TAMUR5_DESCF;The maggots have deeply ingrained onto your body refusing to leave it, you can only surmise this does not mean anything good for your health...;;;;;;;;;x
#Laws
dwarf_clan_power_law;Clan Hierarchy;;;;;;;;;x
dwarf_clan_power_law_0;Warrior Clan;;;;;;;;;x
dwarf_clan_power_law_1;Elite Clan;;;;;;;;;x
dwarf_clan_power_law_2;Ranger Clan;;;;;;;;;x
dwarf_clan_power_law_3;Slayer Clan;;;;;;;;;x
skaven_clan_power_law;Clan Hierarchy;;;;;;;;;x
skaven_clan_power_law_desc;The skaven clans structure themselves how ever they wish at all times to represent the needs of their clan leader.;;;;;;;;;x
skaven_clan_power_law_2;Scavanger Clan;;;;;;;;;x
skaven_clan_power_law_1;Elite Clan;;;;;;;;;x
skaven_clan_power_law_0;Skaven Clan;;;;;;;;;x
skaven_clan_power_law_2_desc;This clan Partakes in scavenging the dead in any battle field they can find on the surface and the underground to strenghten their coffers.;;;;;;;;;x
skaven_clan_power_law_1_desc;This clan Prides themselves in their elite warriors first and foremost.;;;;;;;;;x
skaven_clan_power_law_0_desc;This clan is filled with cowardly skaven to the brim to maximize their numbers.;;;;;;;;;x
#Modifiers
voice_of_greater_daemon;Voice of [GetGreaterDaemonName];;;;;;;;;x
String_AmonChakai;Amon 'Chakai;;;;;;;;;x
String_Alkhor;Alkhor;;;;;;;;;x
String_Darkhdwel;Darkh'dwel;;;;;;;;;x
String_Nkari;N'Kari;;;;;;;;;x
String_Arcalux;Arcalux;;;;;;;;;x
String_Kabandha;Ka'Bandha;;;;;;;;;x
String_Baalrukh;Baalrûkh;;;;;;;;;x
String_belakor;Be'lakor;;;;;;;;;x
quetza_wastes;Wastes of Quetza;;;;;;;;;x
quetza_wastes_desc;The territories around quetza was heavily ravaged by the concoctions of the Clan Pestilence and the Daemon Prince of Nurgle during the Pestilence's incursion long time ago... ;;;;;;;;;;;;x
mousillon_wastes;Curse of Mousillon;;;;;;;;;;;;x
mousillon_wastes_desc;Ever since its fall, Mousillon is a cursed, impoverished land that is plagued by constant misfortunes, disease and drawing the attention of dark powers.;;;;;;;;;;;;x
#Retinues
DOWRET_OSTENBLACKGUARD;Ostlander Black Guard;;;;;;;;;;;;x
#Landed Titles
GUILDS_OF;Merchant Guilds of;;;;;;;;;;;;x
d_marienburg_directorate;Marienburg;;;;;;;;;;;;x
d_marienburg_directorate_adj;Marienburger;;;;;;;;;;;;x
STAADHOLDER;Staadtholder;;;;;;;;;;;;x
FOAMSTAADHOLDER;Your lordship;;;;;;;;;;;;x
DIRECTOR;Director;;;;;;;;;;;;x
FOAMSTAADHOLDER;Your illustriousness;;;;;;;;;;;;x
#Artifacts
staff_of_obsinite;Staff of Obsinite;;;;;;;;;;;;x
staff_of_obsinite_desc;Staff made out of glassy rock of obsinite.;;;;;;;;;;;;x
revivication_crystal;Revivication Crystal;;;;;;;;;;;;x
revivication_crystal_desc;The crystal protects those who worship the Serpent God, healing wounds and bringing supplicants back from the point of death.;;;;;;;;;;;;x
cube_of_darkness;Cube of Darkness;;;;;;;;;;;;x
cube_of_darkness_desc;Viewed up close, this small black cube contains millions of tiny pin-pricks of blinking light, each circling a sphere of pure darkness. By implementing the correct pattern of thoughts, the cube may be opened for a fraction of a second, inexplicably drawing the very Winds of Magic into its depths.;;;;;;;;;;;;x
skavenpelt_banner;Skavenpelt Banner;;;;;;;;;;;;x
skavenpelt_banner_desc;Cut from the plague-ridden hide of a Plague Pontifex personally slain by Chief Poqenichi himself, it was crafted when the fork-tailed comet lit even the daytime sky, and many blessings of the Serpent God have been put upon the vile hide.;;;;;;;;;;;;;x
saurus_scale_shield;Saurian Scale Shield;;;;;;;;;;;;;x
saurus_scale_shield_desc;Shield made out of Scales of various saurians found within the jungles and bronze.;;;;;;;;;;;;;x
obsinite_blade_desc;Cloak of Feathers;;;;;;;;;;;;;x
obsinite_blade;Obsinite Blade;;;;;;;;;;;;;x
obsinite_blade_desc;Blade made out of volcanic glass called obsinite.;;;;;;;;;;;;;x
blade_of_realities;Blade of Realities;;;;;;;;;;;;;x
blade_of_realities_desc;Legends carved on ancient stone claim the blade exists on every plane of reality simultaneously, and that its edge can sever a creature’s soul. No earthly force can stop this deadly blade — it penetrates granite and steel as easily as it slices through flesh and bone.;;;;;;;;;;;;;x
cloak_of_feathers;Cloak of Feathers;;;;;;;;;;;;;x
cloak_of_feathers_desc;The finely woven Cloak of Feathers is made from hundreds of shed feathers gathered over the centuries from one of the most rare creatures to inhabit Lustria — the mysterious Coatl, inheriting their portion mystical powers.;;;;;;;;;;;;;x
obsinite_plaque_armour;Obsinite plaque armour;;;;;;;;;;;;;x
obsinite_plaque_armour_desc;Armour made out of Obsinite stone plates adourned in manner of prophetic plaques of the old ones.;;;;;;;;;;;;;x
golden_plaque_armour;Golden plaque armour;;;;;;;;;;;;;x
golden_plaque_armour_desc;The children of the Old Ones do not forge iron like other mortal races, typically beating and coldworking softer metals into armour instead.;;;;;;;;;;;;;x
spear_of_tlanxla;Revered Spear of Tlanxla;;;;;;;;;;;;;x
spear_of_tlanxla_desc; This weapon was said to have been wielded by the warlike Old One deity Tlanxla as he rode his sky chariot into battle. It hums with ancient energy, and those struck by it are overcome by doom-laden visions that sap their will to fight.;;;;;;;;;;;;;x
#Misc
LUSTRIAN_INCURSION;[target_character.GetFirstNameWithNick]'s Lustrian Incursion;;;;;;;;;;;;;x
lizardman205HuntDesc;Great hunting cats, cannibalistic monkey-kin, and the buzzing swarms of enormous insect life makes the jungle a constant battle zone, where survival is an hourly struggle, yet most dangerous of all that hunt beneath the canopies are the giant reptiles. Your monthly excursions of into the jungles in search of prey have finally caught up in form of one of the most dreaded reptiles...;;;;;;;;;;;;;x
#Cartogarphy
EVTOPTAfabcart.14;Lustrian Jungle;;;;;;;;;;;;;x
EVTOPTBfabcart.14;Beastmen Presence;;;;;;;;;;;;;x
EVTOPTCfabcart.14;Greenskin Presence;;;;;;;;;;;;;x
#Governments
subfeudal_royalist_government;Subfeudal Royalist;;;;;;;;;;;;;x
subfeudal_royalist_government_desc;Subfeudation is the practice by which a King, or other superior lord, allow vassals to carve out new and distinct tenures in their turn by sub-letting or alienating a part of their lands to tenants. This Dukedom shows utmost respect and loyalty for the Realm and the Royarch and will strive to aid them whatever way possible.;;;;;;;;;;;;;x
subfeudal_stagnate_government;Subfeudal Stagnate;;;;;;;;;;;;;x
subfeudal_stagnate_government_desc;Subfeudation is the practice by which a King, or other superior lord, allow vassals to carve out new and distinct tenures in their turn by sub-letting or alienating a part of their lands to tenants. This Dukedom shows disunity and stagnation towards the realm be it due to dislike of the Royarch or disputes with the Royalist Faction.;;;;;;;;;;;;;x
#Events
EVTDESC_Quango_1;The egg opens and withered Quango hatchling marches on wards feebly biting the nearby enemy troops to no avail.;;;;;;;;;;;;;x
EVTDESC_Quango_2;A Quango hatchling emerges from within to charge at the enemy with vigour before succumbing and being overwhelmed by the enemy.;;;;;;;;;;;;;x
EVTDESC_Quango_3;The heavens resound to thunderous peals as Quango bursts forth in full glory and casts its radiant hues upon the world. after smiting it's foes, it flies off, taking no further in battle.;;;;;;;;;;;;;x
#
stormfels_group;Piratic;Piratic;Piratic;;Piratic;;;;;;;;;x
#Wonders
upgrade_royal_trading_hall;Royal Trading Guild;;;;;;;;x
upgrade_royal_trading_hall_desc;Long standing Royal Trading guild Ran by the Merchants of Marienburg creating Profits for the Local Lord.;;;;;;;;x
wonder_norse_heorot;Fortress City Heorot;;;;;;;;x
wonder_norse_heorot_desc;Greatest City in Norsca and the city that hosts the majestic treasures of High Kings of the old.Buildings and its protective walls in Heorot are made of the distinctive and durable blue-grey rock found only in the mountains north of the city.;;;;;;;;x
#Government
gov_cathayan_realm;Cathayan [PrimaryTitle.GetTier] of [PrimaryTitle.GetName];;;;;;;;;;;;;x
gov_cathayan_colony;Cathayan Colony of [PrimaryTitle.GetName];;;;;;;;;;;;;x
gov_lizardmen_vanguard;Vanguard of the Ancients;;;;;;;;;;;;;x
gov_eonir_kingdom_triumvirate;Lauroi Triumvirate;;;;;;;;;;;;;x
gov_eonir_kingdom_despot;Lauroi Crown;;;;;;;;;;;;;x
gov_eonir_kingdom_vassal_default;Eonir [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hobgoblin_satrapy;Hobgoblin Satrapy of [suzerain.primary_title.GetFullName];;;;;;;;;;;;;x
gov_hobgoblin_khanate;Hobgoblin Khanate of [GetOnlyDynastyName] Clan;;;;;;;;;;;;;x
hobgoblin_satrapy_government;Hobgoblin Satrapy;;;;;;;;;;;;;x
hobgoblin_satrapy_government_desc;An Slave state managed and ran by the Hobgoblins relying on the dawi zharr for patronage and protection, in order to maximize production and profits from the slaves present.;;;;;;;;;;;;;x
#Ambitions
obj_skaven_become_grey_lord_title;Become Part of Council of Thirteen;;;;;;;;;;;;;x
obj_skaven_become_grey_lord_desc;Show-off and make-kill room in Council of Thirteen for your conniving-fitting self...;;;;;;;;;;;;;x
own_8_provinces;Own 8 Provinces;;;;;;;;;;;;;x
less_than_12_council_members;Less than 12 Council Members Alive;;;;;;;;;;;;;x
