#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#####################ARTIFACTS#####################
amazon_tiger;Tiger;;;;;;;;;;;;;x
amazon_tiger_desc;An Ferocius Tiger from the jungles of lustria tamed by the Amazon warriors.;;;;;;;;;;;;;x
Stonehorn;Stonehorn;;;;;;;;;;;;;x
Stonehorn_desc;Stonehorns are massive beasts of muscle and violence, each several times the size of a Rhinox and - if it can be believed - several times as dense. Intelligence is of little import to these great beasts however, for each Stonehorn is quite literally a living fossil, its skeleton hardened by the same rock as the mountains where it makes its home.;;;;;;;;;;;;;x
Mournfang;Mournfang;;;;;;;;;;;;;x
Mournfang_desc;the Mournfang. Aggressive predators that resemble a blend between the shaggy Rhinoxen and the ferocious Sabretusk, Mournfang packs are led by the largest of their kind and, working together, they can hunt and kill anything that lives in that harsh domain.;;;;;;;;;;;;;x
##prefixes   #add space after word here, Z for single, B for double
mount_prefix_fair_robust;§BNoble§! ;;;;;;;;;;;;;x
mount_prefix_fair_fertile;§BArdent§! ;;;;;;;;;;;;;x
mount_prefix_fair_powerful;§BForceful§! ;;;;;;;;;;;;;x
mount_prefix_fair_swift;§BElegant§! ;;;;;;;;;;;;;x
mount_prefix_robust_fertile;§BVigorous§! ;;;;;;;;;;;;;x
mount_prefix_robust_powerful;§BImposing§! ;;;;;;;;;;;;;x
mount_prefix_robust_swift;§BSpirited§! ;;;;;;;;;;;;;x
mount_prefix_fertile_powerful;§BDominant§! ;;;;;;;;;;;;;x
mount_prefix_fertile_swift;§BEcstatic§! ;;;;;;;;;;;;;x
mount_prefix_powerful_swift;§BThundering§! ;;;;;;;;;;;;;x
###basic prefixes and descs
mount_prefix_fair;§ZFair§! ;;;;;;;;;;;;;x
mount_prefix_robust;§ZRobust§! ;;;;;;;;;;;;;x
mount_prefix_fertile;§ZFertile§! ;;;;;;;;;;;;;x
mount_prefix_powerful;§ZPowerful§! ;;;;;;;;;;;;;x
mount_prefix_swift;§ZSwift§! ;;;;;;;;;;;;;x
mount_prefix_fair_desc;\n§ZFair:§! Gives bonus prestige and vassal opinion to owner.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_robust_desc;\n§ZRobust:§! Has a longer lifespan and less likely to lose health from random events.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_fertile_desc;\n§ZFertile:§! More likely to breed and can breed for a total of three times.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_powerful_desc;\n§ZPowerful:§! More effective in mounted close combat.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_swift_desc;\n§ZSwift:§! More effective in speed based mounted combat.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_immortal_desc;\n§ZImmortal:§! This mount will never die.[GetMountPrefixDesc2];;;;;;;;;;;;;x
mount_prefix_fair_desc2;\n§ZFair:§! Gives bonus prestige and vassal opinion to owner.;;;;;;;;;;;;;x
