########
# DUMP #
########
b_laureverd;Laureverd;;;;;;;;;;;;;;x
b_sammelhein;Sammelhein;;;;;;;;;;;;;;x
b_chemos;Chemos;;;;;;;;;;;;;;x
b_duruma;Duruma;;;;;;;;;;;;;;x
b_kurjut;Kurjut;;;;;;;;;;;;;;x
b_mansurah;Mansurah;;;;;;;;;;;;;;x
b_al_bunt;Al-Bunt;;;;;;;;;;;;;;x
b_taraqua;Taraqua;;;;;;;;;;;;;;x
b_kabafsa;Kabafsa;;;;;;;;;;;;;;x
b_delhi;Delhi;;;;;;;;;;;;;;x
b_al_alamein;Al-Alamein;;;;;;;;;;;;;;x
b_kufraba;Kufraba;;;;;;;;;;;;;;x
b_akadin;Akadin;;;;;;;;;;;;;;x
b_bashkir;Bashkir;;;;;;;;;;;;;;x
b_korotopol;Korotopol;;;;;;;;;;;;;;x
b_okazov;Okazov;;;;;;;;;;;;;;x
b_solotchin;Solotchin;;;;;;;;;;;;;;x
b_mescher;Mescher;;;;;;;;;;;;;;x
b_rybnosky;Rybnosky;;;;;;;;;;;;;;x
b_zenihov;Zenihov;;;;;;;;;;;;;;x
b_chernomar;Chernomar;;;;;;;;;;;;;;x
b_fanipalo;Fanipalo;;;;;;;;;;;;;;x
b_karchorath;Karchorath;;;;;;;;;;;;;;x
b_tower_of_khrakk;Tower of Khrakk;;;;;;;;;;;;;;x
b_trollheimer;Trollheimer;;;;;;;;;;;;;;x
b_black_gulch;Black Gulch;;;;;;;;;;;;;;x
b_trollkonigerlager;Trollkonigerlager;;;;;;;;;;;;;;x
b_granazik;Granazik;;;;;;;;;;;;;;x
b_damazorn;Damazorn;;;;;;;;;;;;;;x
b_lanargzun;Lanargzun;;;;;;;;;;;;;;x
b_artuulvik;Artuulvik;;;;;;;;;;;;;;x
b_herosborg;Herosborg;;;;;;;;;;;;;;x
b_sabre_mountain;Sabre Mountain;;;;;;;;;;;;;;x
b_khazid_sabir;Khazid Sabir;;;;;;;;;;;;;;x
b_ungrim_sabir;Ungrim Sabir;;;;;;;;;;;;;;x
b_lushat;Lushat;;;;;;;;;;;;;;x
b_anilmanu;Anilmanu;;;;;;;;;;;;;;x
b_gol_greass;Gol-Greass;;;;;;;;;;;;;;x
b_ymirdrak;Ymirdrak;;;;;;;;;;;;;;x
b_khazid_ymir;Khazid Ymir;;;;;;;;;;;;;;x
b_ungrim_ymir;Ungrim Ymir;;;;;;;;;;;;;;x
