#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.16.17 -Komioski
#####################
# NEHEKHARAN EVENTS #
#####################
EVTDESCAsnehekharan1;One of your enemies has been foolish enough to try and destroy you. Their actions may have incapacitated you, for a time, but the ancient magic protecting your soul is already at work to bring you back into the land of the living.;;;;;;;;;;;;;;
EVTOPTAsnehekharan1;I will rise again!;;;;;;;;;;;;;;
EVTDESCAsnehekharan2;Through the spells of the Liche Priests and your divine willpower, you've returned, your dessicated body whole again, ready to cast dominion across all that you see.;;;;;;;;;;;;;;
EVTOPTAsnehekharan2;Rise, my soldiers!;;;;;;;;;;;;;;
EVTDESCsnehekharan3;Your soldiers have returned with rich treasures from the ancient tombs of Nehekhara. Though there was resistance from the local undead, your expedition has bore some results.;;;;;;;;;;;;;;
EVTOPTAsnehekharan3;All mine!;;;;;;;;;;;;;;
EVTDESCasnehekharan4;The blasphemous raiders of [From.GetTitledFirstName] have dared to scour your lands, stealing the ancient treasure hidden within the ancient halls of your glorious palaces.;;;;;;;;;;;;;;
EVTOPTAsnehekharan4;Revenge!!;;;;;;;;;;;;;;
EVTDESCsnehekharan5;The blasphemous raiders of [From.GetTitledFirstName] have dared to scour [FromFrom.GetName], stealing the ancient treasure hidden within your own palaces.;;;;;;;;;;;;;;
EVTOPTAsnehekharan5;Revenge!!;;;;;;;;;;;;;;
EVTDESCsnehekharan6;[From.GetName] was hiding a marvellous treasure. Scouring the desert allowed your men to return with loads gold, relics and precious stones.;;;;;;;;;;;;;;
EVTOPTAsnehekharan6;All mine!;;;;;;;;;;;;;;
EVTDESCsnehekharan7;The accursed Tomb Kings of Nehekhara have cursed you for desecrating their tombs. Your army is faltering, crumbling under the arcane sickness bestowed unto them, as are your very limbs.;;;;;;;;;;;;;;
EVTOPTAsnehekharan7;No! Put it back! Put it back!;;;;;;;;;;;;;;
EVTDESCsnehekharan12;You've suffered for too long as a prisoner of this unworthy mortal. Though your body may be tied and your servants far away, your wrath shall strike your jailer and punish them for their blasphemy.;;;;;;;;;;;;;;
EVTOPTAsnehekharan12;So it shall be.;;;;;;;;;;;;;;
EVTDESCsnehekharan13;You thought you could lock away an immortal King of Nehekhara with impunity, but [From.GetSheHe] has cast ruination upon you, greying your skin and rotting the bones beneath your flesh.;;;;;;;;;;;;;;
EVTOPTAsnehekharan13;Nooo!!;;;;;;;;;;;;;;
